-76.93,-8.70,37.70
-76.88,-8.68,38.96
-76.82,-8.67,40.18
-76.77,-8.66,41.47
-76.72,-8.64,42.74
-76.67,-8.62,44.04
-76.62,-8.61,45.36
-76.57,-8.59,46.67
-76.51,-8.57,47.99
-76.46,-8.55,49.26
-76.41,-8.53,50.59
-76.36,-8.50,51.91
-76.32,-8.48,53.26
-76.27,-8.45,54.50
-76.22,-8.43,55.88
-76.17,-8.40,57.19
-76.12,-8.38,58.55
-76.08,-8.34,59.87
-76.03,-8.32,61.25
-76.00,-8.29,62.52
-75.96,-8.25,63.82
-75.91,-8.22,65.12
-75.88,-8.19,66.44
-75.84,-8.15,67.77
-75.79,-8.11,69.13
-75.75,-8.07,70.46
-75.71,-8.03,71.78
-75.68,-7.99,73.11
-75.64,-7.95,74.38
-75.61,-7.92,75.72
-75.58,-7.87,76.95
-75.55,-7.82,78.23
-75.52,-7.79,79.51
-75.49,-7.74,80.78
-75.46,-7.70,82.12
-75.44,-7.65,83.40
-75.41,-7.61,84.69
-75.39,-7.56,85.92
-75.36,-7.52,87.19
-75.34,-7.48,88.39
-75.32,-7.42,89.64
-75.30,-7.37,90.97
-75.28,-7.32,92.22
-75.26,-7.26,93.46
-75.24,-7.22,94.68
-75.23,-7.16,95.91
-75.21,-7.11,97.14
-75.20,-7.06,98.32
-75.18,-7.01,99.48
-75.16,-6.96,100.72
-75.15,-6.91,101.90
-75.15,-6.84,103.20
-75.14,-6.80,104.40
-75.13,-6.74,105.57
-75.12,-6.69,106.80
-75.12,-6.63,107.97
-75.11,-6.58,109.20
-75.11,-6.52,110.43
-75.11,-6.47,111.65
-75.10,-6.42,112.81
-75.10,-6.36,113.99
-75.11,-6.30,115.15
-75.11,-6.25,116.25
-75.12,-6.20,117.43
-75.12,-6.15,118.58
-75.13,-6.09,119.70
-75.13,-6.04,120.88
-75.14,-5.98,122.03
-75.15,-5.93,123.22
-75.15,-5.88,124.34
-75.17,-5.82,125.49
-75.19,-5.76,126.60
-75.19,-5.72,127.80
-75.22,-5.66,128.86
-75.23,-5.64,129.74
-75.27,-5.65,130.23
-75.34,-5.78,130.41
-75.39,-5.86,130.55
-75.42,-5.95,130.55
-75.43,-6.02,130.57
-75.60,-5.80,130.58
-75.68,-5.73,130.58
-75.69,-5.77,130.58
-75.73,-5.73,130.57
-75.81,-5.63,130.57
-75.86,-5.58,130.57
-75.89,-5.55,130.57
-75.91,-5.53,130.57
-75.93,-5.52,130.57
-75.94,-5.51,130.57
-75.95,-5.50,130.57
-75.95,-5.50,130.57
-75.96,-5.50,130.57
-75.96,-5.50,130.57
-75.96,-5.50,130.57
-75.97,-5.50,130.57
-75.97,-5.50,130.57
-75.97,-5.51,130.57
-75.96,-5.51,130.56
-75.96,-5.51,130.56
-75.96,-5.51,130.56
-75.96,-5.51,130.56
-75.96,-5.51,130.56
-75.96,-5.51,130.56
-75.96,-5.52,130.56
-75.96,-5.52,130.56
-75.96,-5.52,130.56
-75.95,-5.52,130.56
-75.95,-5.52,130.56
-75.95,-5.52,130.56
-75.95,-5.52,130.55
-75.95,-5.52,130.55
-75.95,-5.51,130.55
-75.95,-5.51,130.55
-75.95,-5.51,130.55
-75.95,-5.51,130.55
-75.95,-5.51,130.55
-75.95,-5.51,130.55
-75.96,-5.50,130.55
-75.96,-5.50,130.55
-75.96,-5.50,130.55
-75.96,-5.49,130.55
-75.96,-5.49,130.55
-75.97,-5.49,130.55
-75.97,-5.48,130.55
-75.97,-5.48,130.55
-75.97,-5.47,130.55
-75.98,-5.47,130.55
-75.98,-5.46,130.55
-75.98,-5.46,130.55
-75.99,-5.45,130.55
-75.99,-5.45,130.55
-76.00,-5.44,130.55
-76.00,-5.44,130.55
-76.00,-5.43,130.56
-76.01,-5.43,130.57
-76.01,-5.42,130.57
-76.02,-5.41,130.57
-76.02,-5.41,130.57
-76.02,-5.40,130.57
-76.03,-5.40,130.57
-76.03,-5.39,130.57
-76.04,-5.39,130.57
-76.04,-5.38,130.57
-76.05,-5.37,130.57
-76.05,-5.37,130.57
-76.06,-5.36,130.57
-76.06,-5.36,130.57
-76.07,-5.35,130.57
-76.07,-5.35,130.57
-76.07,-5.34,130.57
-76.08,-5.34,130.57
-76.08,-5.33,130.57
-76.09,-5.32,130.57
-76.09,-5.32,130.57
-76.10,-5.31,130.57
-76.10,-5.31,130.57
-76.10,-5.31,130.57
-76.11,-5.30,130.57
-76.11,-5.30,130.57
-76.11,-5.29,130.57
-76.12,-5.29,130.57
-76.12,-5.28,130.57
-76.12,-5.28,130.57
-76.13,-5.27,130.57
-76.13,-5.27,130.57
-76.13,-5.27,130.57
-76.14,-5.26,130.57
-76.14,-5.26,130.56
-76.14,-5.26,130.57
-76.15,-5.25,130.57
-76.15,-5.25,130.56
-76.15,-5.25,130.55
-76.15,-5.24,130.57
-76.16,-5.24,130.56
-76.16,-5.24,130.54
-76.16,-5.23,130.55
-76.16,-5.23,130.56
-76.16,-5.23,130.56
-76.17,-5.23,130.57
-76.17,-5.22,130.57
-76.17,-5.22,130.57
-76.17,-5.22,130.58
-76.17,-5.22,130.58
-76.18,-5.22,130.58
-76.18,-5.21,130.58
-76.18,-5.21,130.58
-76.18,-5.21,130.58
-76.18,-5.21,130.58
-76.18,-5.21,130.58
-76.18,-5.20,130.58
-76.18,-5.20,130.56
-76.19,-5.20,130.55
-76.19,-5.20,130.56
-76.19,-5.20,130.56
-76.19,-5.20,130.56
-76.19,-5.20,130.57
-76.19,-5.19,130.57
-76.19,-5.19,130.58
-76.19,-5.19,130.58
-76.19,-5.19,130.58
-76.19,-5.19,130.58
-76.19,-5.19,130.58
-76.19,-5.19,130.58
-76.19,-5.19,130.58
-76.19,-5.19,130.58
-76.19,-5.19,130.58
-76.19,-5.19,130.58
-76.19,-5.18,130.58
-76.19,-5.18,130.58
-76.20,-5.18,130.58
-76.20,-5.18,130.58
-76.20,-5.18,130.57
-76.20,-5.18,130.58
